tab delimited	contribution
magic_version
3.0
>>>>>>>>>>
tab delimited	locations
location	location_type	citations	lat_s	lat_n	lon_w	lon_e
Michipicoten Island	Region	This study	47.7022	47.7244	274.044128	274.3519
Two Island River	Outcrop	This study	47.524091	47.53669	269.06	269.07756
>>>>>>>>>>
tab delimited	sites
site	location	specimens	result_type	result_quality	method_codes	citations	geologic_classes	geologic_types	lithologies	lat	lon	height	age	age_unit	dir_tilt_correction	dir_dec	dir_inc	dir_alpha95	dir_r	dir_k	dir_n_samples	dir_n_specimens_lines	dir_n_specimens_planes	dir_comp_name	dir_polarity	dir_nrm_origin	vgp_lat	vgp_lon	vgp_dp	vgp_dm	vgp_n_samples	description	criteria	software_packages	analysts
CM1	Michipicoten Island	CM1-1a:CM1-6a		g	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-T	This study	Extrusive	Lava Flow	Andesite			0	1085.425	Ma	0	335	-10.2	48.4	1.9652	29	2	2	0	HT	n	p						Site direction included in results table	ACCEPT	pmagpy-3.4.1	Fairchild:Sprain:Swanson-Hysell
CM1	Michipicoten Island	CM1-2a:CM1-3a:CM1-4a:CM1-5a:CM1-7a:CM1-8a		g	DA-DIR-GEO:DE-BFL:DE-FM:LP-DC4:LP-DIR-T	This study	Extrusive	Lava Flow	Andesite			0	1085.425	Ma	0	323.2	75.7	11.8	5.8487	33	6	6	0	LT	n	p						Site direction included in results table	ACCEPT	pmagpy-3.4.1	Fairchild:Sprain:Swanson-Hysell
CM1	Michipicoten Island	CM1-1a:CM1-6a		g	DA-DIR-GEO:DA-DIR-TILT:DE-BFL:LP-DC4:LP-DIR-T	This study	Extrusive	Lava Flow	Andesite			0	1085.425	Ma	100	334.2	20.2	48.3	1.9654	29	2	2	0	HT	n	p						Site direction included in results table	ACCEPT	pmagpy-3.4.1	Fairchild:Sprain:Swanson-Hysell
CM1	Michipicoten Island	CM1-2a:CM1-3a:CM1-4a:CM1-5a:CM1-7a:CM1-8a		g	DA-DIR-GEO:DA-DIR-TILT:DE-BFL:DE-FM:LP-DC4:LP-DIR-T	This study	Extrusive	Lava Flow	Andesite			0	1085.425	Ma	100	191.8	69.7	11.8	5.8488	33	6	6	0	LT	n	p						Site direction included in results table	ACCEPT	pmagpy-3.4.1	Fairchild:Sprain:Swanson-Hysell
CM1	Michipicoten Island	CM1-1a:CM1-6a	i		DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-T	This study				47.723	274.0478	58.7	1085.425	Ma	100	335	-10.2	48.4	1.9652	29	2				n	p	32.7	124.1	3.3	6.6	2	VGP Site: CM1, "Site VGP, coord system = 100 component: MT"	ACCEPT	pmagpy-3.4.1	
CM1	Michipicoten Island	CM1-1a:CM1-6a	i		DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-T	This study				47.723	274.0478	58.7	1085.425	Ma	0										n	p	32.7	124.1	3.3	6.6	2	VGP Site: CM1, "Site VGP, coord system = 100 component: MT"	ACCEPT	pmagpy-3.4.1	
CM1	Michipicoten Island	CM1-2a:CM1-3a:CM1-4a:CM1-5a:CM1-7a:CM1-8a	i		DA-DIR-GEO:DE-BFL:DE-FM:LP-DC4:LP-DIR-T	This study				47.723	274.0478	58.7	1085.425	Ma	100	323.2	75.7	11.8	5.8487	33	6				n	p	64.7	234.6	19.9	21.7	6	VGP Site: CM1, "Site VGP, coord system = 100 component: MT"	ACCEPT	pmagpy-3.4.1	
CM1	Michipicoten Island	CM1-2a:CM1-3a:CM1-4a:CM1-5a:CM1-7a:CM1-8a	i		DA-DIR-GEO:DE-BFL:DE-FM:LP-DC4:LP-DIR-T	This study				47.723	274.0478	58.7	1085.425	Ma	0										n	p	64.7	234.6	19.9	21.7	6	VGP Site: CM1, "Site VGP, coord system = 100 component: MT"	ACCEPT	pmagpy-3.4.1	
CM1	Michipicoten Island	CM1-1a:CM1-6a	i		DA-DIR-TILT:DE-BFL:LP-DC4:LP-DIR-T	This study				47.723	274.0478	58.7	1085.425	Ma	100	334.2	20.2	48.3	1.9654	29	2				n	p	46.8	132.8	3.7	6.9	2	VGP Site: CM1, "Site VGP, coord system = 100 component: MT"	ACCEPT	pmagpy-3.4.1	
CM1	Michipicoten Island	CM1-2a:CM1-3a:CM1-4a:CM1-5a:CM1-7a:CM1-8a	i		DA-DIR-TILT:DE-BFL:DE-FM:LP-DC4:LP-DIR-T	This study				47.723	274.0478	58.7	1085.425	Ma	100	191.8	69.7	11.8	5.8488	33	6				n	p	11.7	266.9	17.3	20.2	6	VGP Site: CM1, "Site VGP, coord system = 100 component: MT"	ACCEPT	pmagpy-3.4.1	
CM2	Michipicoten Island	CM2-1a:CM2-2a:CM2-3a:CM2-4a:CM2-5a:CM2-6a:CM2-7a:CM2-8a:CM2-9a		g	DA-DIR-GEO:DE-BFL:DE-FM:LP-DC4:LP-DIR-T	This study	Extrusive	Lava Flow	Andesite			175	1085.425	Ma	0	303.3	-9	1.6	8.9924	1050	9	9	0	HT	n	p						Site direction included in results table	ACCEPT	pmagpy-3.4.1	Fairchild:Sprain:Swanson-Hysell
CM2	Michipicoten Island	CM2-1a:CM2-2a:CM2-3a:CM2-4a:CM2-5a:CM2-6a:CM2-7a:CM2-8a:CM2-9a		g	DA-DIR-GEO:DA-DIR-TILT:DE-BFL:DE-FM:LP-DC4:LP-DIR-T	This study	Extrusive	Lava Flow	Andesite			175	1085.425	Ma	100	303.8	6.1	1.6	8.9923	1035	9	9	0	HT	n	p						Site direction included in results table	ACCEPT	pmagpy-3.4.1	Fairchild:Sprain:Swanson-Hysell
CM2	Michipicoten Island	CM2-1a:CM2-2a:CM2-3a:CM2-4a:CM2-5a:CM2-6a:CM2-7a:CM2-8a:CM2-9a	i		DA-DIR-GEO:DE-BFL:DE-FM:LP-DC4:LP-DIR-T	This study				47.719	274.0441	58.7	1085.425	Ma	100	303.3	-9	1.6	8.9924	1050	9				n	p	18	155.2	0.8	1.6	9	VGP Site: CM2, "Site VGP, coord system = 100 component: MT"	ACCEPT	pmagpy-3.4.1	
CM2	Michipicoten Island	CM2-1a:CM2-2a:CM2-3a:CM2-4a:CM2-5a:CM2-6a:CM2-7a:CM2-8a:CM2-9a	i		DA-DIR-GEO:DE-BFL:DE-FM:LP-DC4:LP-DIR-T	This study				47.719	274.0441	58.7	1085.425	Ma	0										n	p	18	155.2	0.8	1.6	9	VGP Site: CM2, "Site VGP, coord system = 100 component: MT"	ACCEPT	pmagpy-3.4.1	
